Year,Country,Inbound-Total Arrival(overnight stay)( In thousands),Inbound- Region(America)( In thousands),Inbound- Region(East Asia and the Pacific)( In thousands),Inbound- Region(Europe)( In thousands),Inbound Accommodation( In thousands),Inbound- Expenditure(Travel)(US$ Millions),Domestic- Accommodation( In thousands),Outbound- departure(overnight stay)( In thousands),Outbound Expenditure(Travel)(US$ Millions),Tourism Industry(Number of establishments),Tourism Industry(Number of rooms),Tourism Industry(Number of bed-places)
2018,Austria,30816,1158,2188,26489,231603,23233,89894,11043,36953,12003,292458,615541
2018,Belgium,9119,704,487,7527,48808,8880,41856,15627,18442,4170,78954,199265
2018,Bulgaria,9273,148,119,11976,42794,4468,23725,6699,1868,2102,124148,286219
2018,Croatia,16645,915,1499,14192,128994,11123,12142,2058,1693,1065,81223,169108
2018,Denmark,12749,1002,462,10633,79171,9107,97743,7475,10538,556,47541,95253
2018,Estonia,3226,62,100,1934,11871,1779,6683,2069,1463,418,16084,34108
2018,Finland,3224,190,534,2217,18700,3665,43858,9450,6072,788,59882,132740
2018,France,89322,8956,6042,69955,304580,65362,634712,30509,49464,17960,654478,1308956
2018,Germany,38881,4085,3965,28681,234868,42895,884873,108542,95199,31842,976515,1911311
2018,Greece,30123,1681,1101,27226,255188,18821,57516,7961,2582,9873,425973,835773
2018,Hungary,17552,1014,1108,55506,39665,6887,39999,8649,2639,2357,74956,183557
2018,Iceland,2344,795,218,1092,20356,3134,2892,668,1691,420,15276,32321
2018,Italy,61567,7172,2192,82844,465807,49066,467382,33347,30004,32896,1091180,2260190
2018,Lithuania,2825,,,2510,9632,1504,8646,2244,1400,387,14944,30900
2018,Luxembourg,1018,46,64,904,5934,6101,742,2510,3322,227,7484,15446
2018,Netherlands,18780,2072,1579,14974,108322,17782,132930,20981,20879,3760,131903,286069
2018,Norway,5688,545,664,4372,26475,5928,64401,8110,17052,1031,89815,202625
2018,Poland,19622,825,476,84543,45487,13992,153234,12800,9606,4179,170640,353785
2018,Portugal,16186,2674,1177,12135,122282,20057,59992,2486,5396,6866,184428,423138
2018,Spain,82808,6371,2561,71904,644421,81420,398617,19032,26329,19255,922464,1927389
2018,Sweden,7440,516,417,5304,39839,9973,117241,18855,15704,2057,125623,251894
2018,Turkey,45768,827,1254,29429,285218,25220,230678,8383,4595,11362,673550,1432407
2018,Ukraine,14104,246,85,12966,5458,1445,34719,27811,7899,2777,71132,135327
2019,Austria,31884,1209,2314,27356,236686,22983,91292,11902,35968,11823,290878,607010
